time stamp,X,Y,Z
15:28.1,-50,-50,0.19
15:28.1,-50,-38.89,0.14
15:28.2,-50,-27.78,0.14
15:28.2,-50,-16.67,0.09
15:28.2,-50,-5.56,0.07
15:28.2,-50,5.55,0.04
15:28.2,-50,16.66,-0.05
15:28.2,-50,27.77,-0.08
15:28.2,-50,38.88,-0.11
15:28.2,-50,49.99,-0.14
15:28.2,-38.89,-50,0.13
15:28.2,-38.89,-38.89,0.07
15:28.2,-38.89,-27.78,0.1
15:28.2,-38.89,-16.67,0.04
15:28.2,-38.89,-5.56,0
15:28.2,-38.89,5.55,-0.01
15:28.2,-38.89,16.66,-0.07
15:28.2,-38.89,27.77,-0.1
15:28.2,-38.89,38.88,-0.11
15:28.2,-38.89,49.99,-0.15
15:28.2,-27.78,-50,0.07
15:28.2,-27.78,-38.89,0.06
15:28.2,-27.78,-27.78,0.02
15:28.2,-27.78,-16.67,-0.01
15:28.2,-27.78,-5.56,-0.02
15:28.2,-27.78,5.55,-0.02
15:28.2,-27.78,16.66,-0.07
15:28.2,-27.78,27.77,-0.07
15:28.2,-27.78,38.88,-0.1
15:28.2,-27.78,49.99,-0.11
15:28.2,-16.67,-50,0.01
15:28.2,-16.67,-38.89,-0.01
15:28.2,-16.67,-27.78,-0.03
15:28.2,-16.67,-16.67,-0.03
15:28.2,-16.67,-5.56,-0.04
15:28.2,-16.67,5.55,-0.02
15:28.2,-16.67,16.66,-0.07
15:28.2,-16.67,27.77,-0.08
15:28.2,-16.67,38.88,-0.07
15:28.2,-16.67,49.99,-0.09
15:28.2,-5.56,-50,-0.02
15:28.2,-5.56,-38.89,-0.03
15:28.2,-5.56,-27.78,-0.03
15:28.2,-5.56,-16.67,0.01
15:28.2,-5.56,-5.56,-0.04
15:28.2,-5.56,5.55,-0.02
15:28.2,-5.56,16.66,-0.03
15:28.2,-5.56,27.77,-0.05
15:28.2,-5.56,38.88,-0.05
15:28.2,-5.56,49.99,-0.05
15:28.2,5.55,-50,-0.01
15:28.2,5.55,-38.89,-0.02
15:28.2,5.55,-27.78,-0.04
15:28.2,5.55,-16.67,-0.02
15:28.2,5.55,-5.56,-0.02
15:28.2,5.55,5.55,-0.03
15:28.2,5.55,16.66,0.01
15:28.2,5.55,27.77,-0.03
15:28.2,5.55,38.88,0.01
15:28.3,5.55,49.99,0.04
15:28.3,16.66,-50,-0.06
15:28.3,16.66,-38.89,-0.03
15:28.3,16.66,-27.78,0
15:28.3,16.66,-16.67,0
15:28.3,16.66,-5.56,-0.01
15:28.3,16.66,5.55,-0.04
15:28.3,16.66,16.66,-0.01
15:28.3,16.66,27.77,0.03
15:28.3,16.66,38.88,0.04
15:28.3,16.66,49.99,0.1
15:28.3,27.77,-50,-0.07
15:28.3,27.77,-38.89,-0.04
15:28.3,27.77,-27.78,-0.07
15:28.3,27.77,-16.67,-0.06
15:28.3,27.77,-5.56,0
15:28.3,27.77,5.55,0.01
15:28.3,27.77,16.66,0.02
15:28.3,27.77,27.77,0.05
15:28.3,27.77,38.88,0.08
15:28.3,27.77,49.99,0.15
15:28.3,38.88,-50,-0.1
15:28.3,38.88,-38.89,-0.1
15:28.3,38.88,-27.78,-0.06
15:28.3,38.88,-16.67,-0.04
15:28.3,38.88,-5.56,0
15:28.3,38.88,5.55,0.01
15:28.3,38.88,16.66,0.03
15:28.3,38.88,27.77,0.1
15:28.3,38.88,38.88,0.14
15:28.3,38.88,49.99,0.21
15:28.3,49.99,-50,-0.13
15:28.3,49.99,-38.89,-0.11
15:28.3,49.99,-27.78,-0.05
15:28.3,49.99,-16.67,-0.01
15:28.3,49.99,-5.56,0.01
15:28.3,49.99,5.55,0.07
15:28.3,49.99,16.66,0.08
15:28.3,49.99,27.77,0.15
15:28.3,49.99,38.88,0.2
15:28.3,49.99,49.99,0.26
